gene_index_978	pr_gene_id	gene_symbol	signed_log2fc	direction	n_pairs	n_probes	comparison	role
811	3206	HOXA10	0.4132460117	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
812	1500	CTNND1	-0.1387873179	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
814	29911	HOOK2	0.3979463565	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
815	2064	ERBB2	0.03631365495	up	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
816	65123	INTS3	0.5451697795	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
817	5986	RFNG	0.1887582065	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
818	85377	MICALL1	-0.005696086317	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
819	9903	KLHL21	0.5876176123	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
820	7088	TLE1	0.05343684514	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
821	22796	COG2	0.3119070105	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
822	51116	MRPS2	1.042814948	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
823	54442	KCTD5	0.7273901019	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
824	10695	CNPY3	0.5607110669	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
825	102	ADAM10	0.04143847279	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
826	965	CD58	0.08744321302	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
828	10362	HMG20B	0.2068425757	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
829	5300	PIN1	0.3028384659	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
830	8270	LAGE3	1.629369511	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
831	27242	TNFRSF21	-0.1299718476	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
832	9928	KIF14	1.641231076	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
833	1534	CYB561	0.3890712824	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
834	5654	HTRA1	0.6145659999	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
835	10810	WASF3	0.0006630452891	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
836	7105	TSPAN6	0.919167248	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
837	23014	FBXO21	0.8434640635	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
838	55012	PPP2R3C	-0.03418991983	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
839	2887	GRB10	0.05144249783	up	30	3	tumor_vs_normal	CRC_DISEASE_SIGNATURE
840	9183	ZW10	0.1803100305	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
841	11151	CORO1A	-0.578939526	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
842	7511	XPNPEP1	0.425653747	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
843	10046	MAMLD1	-0.19588482	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
844	1829	DSG2	-0.335328152	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
845	11000	SLC27A3	0.1179319665	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
846	976	ADGRE5	0.1308085618	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
847	3597	IL13RA1	0.3202852275	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
848	178	AGL	0.04009798297	up	30	5	tumor_vs_normal	CRC_DISEASE_SIGNATURE
849	2625	GATA3	-0.1077265086	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
850	6119	RPA3	1.401371653	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
851	26136	TES	-0.06975922606	down	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
852	6697	SPR	0.1055036054	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
853	5971	RELB	-0.1844296234	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
854	22934	RPIA	1.578089682	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
855	9289	ADGRG1	0.9449176576	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
856	4931	NVL	0.05397715269	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
857	4200	ME2	0.1325817255	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
858	93594	TBC1D31	1.239648262	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
859	5982	RFC2	0.3586910533	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
860	26520	TIMM9	1.319345717	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
861	4998	ORC1	1.097342505	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
862	10038	PARP2	0.5897836234	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
863	60493	FASTKD5	0.6045311473	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
864	51495	HACD3	1.755280373	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
865	4482	MSRA	-0.3305922597	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
866	23224	SYNE2	0.04516347535	up	30	4	tumor_vs_normal	CRC_DISEASE_SIGNATURE
867	9690	UBE3C	0.8888175402	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
868	80212	CCDC92	0.1619370849	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
869	29928	TIMM22	-0.1615703578	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
870	22809	ATF5	0.1916047569	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
871	50814	NSDHL	1.375977318	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
872	55256	ADI1	0.3052227808	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
874	81544	GDPD5	1.386635706	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
875	6894	TARBP1	1.595161228	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
876	64080	RBKS	-0.4311924174	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
877	55818	KDM3A	0.172512753	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
878	637	BID	0.5592854467	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
879	22823	MTF2	0.2958041358	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
880	5287	PIK3C2B	0.06712396805	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
881	91137	SLC25A46	0.09705889533	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
882	23097	CDK19	-0.1041038306	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
883	9851	KIAA0753	0.2984645797	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
884	23522	KAT6B	-0.181380559	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
885	1123	CHN1	0.3015038998	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
886	5603	MAPK13	0.03752539886	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
887	51569	UFM1	0.6291253861	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
888	55699	IARS2	0.9461981665	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
889	2624	GATA2	0.03595104778	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
